,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID
0,IRON,I,o--MKWT6r5tfkfQAgNi9_ho-PnJBC1_pwbWUczLdLUwcXvBb,Soundwave2017,54,21,20,41,51.21951219512195,1.1718016311063515,350.0
1,IRON,I,Yo9WorMtx8wq0cY5jUa8VBS1J46p7UwCqI96c7kJwg4Q_KEj,Samataji,0,6,19,25,24.0,3.8760586745830787,86.0
2,IRON,I,UfrJNduCZNKOIymSY7Jbo8Ei3sD-7K9A_R-Yd28V1VWFck6f,ChivarExpress,0,6,14,20,30.0,6.492975165726724,17.0
3,IRON,I,LAMumtzOQN8govxDJx8a19YpCpXe7TSNh6Ix2DbJ6C6C7K1n,ahmedalfa,52,16,22,38,42.10526315789473,1.6905029867543935,202.0
4,IRON,I,KtG0jzCQYgPlUD0BArnlxfGVFAU2czVp-daLXWwXwJ1SHusl,TheEichelTower88,100,6,19,25,24.0,3.5336651328763264,245.0
5,IRON,I,oS67IUd4I9iQ7TlM7V2SP7pyu9mHL0F5PLYlwcKAzIyk1yPS,chloradane,75,7,10,17,41.17647058823529,3.2450489500037367,40.0
6,IRON,I,NY7UNx7YNX9juCbkWGwc-Ynmm9CBrb7Wf9vvQPTGgc1YeCd0,StaKsaP VII,24,3,10,13,23.076923076923077,1.5160239632408539,11.0
7,IRON,I,qQj6KZTqY9-2a07VsUdLau-vpcujnFhkHICf6OYMnQosvpCf,0StUpIdDuMpLiNg0,57,6,9,15,40.0,3.224917309812569,11.0
8,IRON,I,Qxte11p9EQMe5c1LrSkWGQ41xjvG7qu04YD5Vdj574BEP6D_,DXYF,51,5,7,12,41.66666666666667,1.5866293984760884,92.0
9,IRON,I,qyXzyiEoYR6FG6I_gqBVI-IkYtobTdTSFnn-uFZhdwPdmMuB,angrylemon209,61,21,32,53,39.62264150943396,1.342377216327377,35.0
10,IRON,I,MMpTfSFb_d90PI_FPIuVbygfLmi4hpwapJKnQmvsJzY3T4Mw,ScuffedUnknown,0,3,13,16,18.75,1.083741039936284,82.0
11,IRON,I,eBiBRfG0sTcLPP6mVXNgTCr6ngxhZBWWWPRdormKrLVyHx7-,benvmastrorocco,100,5,7,12,41.66666666666667,1.4979401967161414,37.0
12,IRON,I,tRpNryn6N7A8TcyFbk-cyQJplC8T2F8FiKx4Ai1BgviQV0aV,O3fWhite,24,7,11,18,38.88888888888889,1.6030756778632134,39.0
13,IRON,I,zE9aU7LOGeMJQvojBKQgeP8ydMbu_lfglwzTLM3buBQvCB-1,babyxnana,16,40,36,76,52.63157894736842,3.7583960592040144,103.0
14,IRON,I,WYyVHHiUPZCrk87vrCJ4bXe3jqZJZix_9DRuYmz5E-1_bMHe,GrindyGrimmace,65,70,69,139,50.35971223021583,4.505913370998117,51.0
15,IRON,I,YZ1jl9ZSP4UIMTDqtA2heFkbylvTdia1e1MmOtlQkFaME55A,UofTAcS,45,22,28,50,44.0,1.5374667173830354,24.0
16,IRON,I,3txMzbeyIKIYJXVTSIOjCsmS3RJuAdZkREulnSeRI8Tmcy4q,ElementNe,40,65,61,126,51.587301587301596,1.1612539948257494,82.0
17,IRON,I,sQoz6ksfzMh5FW6n5zAJsI1-grdrjKb3EYKMwHeyD-aFn5eZ,Grayco,79,26,30,56,46.42857142857143,32.631820647260895,19.0
18,IRON,I,Ab0FxggdJBpIRRcWxdKrLvtXeq5Ca6EsR7EHI1UdoMyP8xU8,GrEen GoBin,68,5,10,15,33.33333333333333,1.2770854613551244,412.0
19,IRON,I,OoiYW76t0VZNjMjiNCxfVTVirLMex1l4Uk1TXhdgcWQVQ47q,GucciBaz,71,20,15,35,57.14285714285714,1.3346007604562737,86.0
20,IRON,I,XP04LiwJmYuYWCrIZf_wuwxLhHGjpmQ3eL0u-dPCeCEMtsq2,d34dartist,0,9,12,21,42.857142857142854,2.3176107192052426,32.0
21,IRON,I,bl1x9BlR-ol2Eo3d1ZXvu_tgNe-aJ4DQqbwzsec_ik97ky1X,PeachyMattress,22,13,18,31,41.935483870967744,2.165862751706125,236.0
22,IRON,I,FV0p11okgAkIBRVSJoOBTTM6eSs-q7ph7aekoze-rUg7VjDL,LukeNukem90,36,7,12,19,36.84210526315789,1.0962609786700126,24.0
23,IRON,I,4YmtJtElIOR4QZv4_Ob5zrP_TaSlT0SKEkufael5BSJUYn-1,thefallenang3l,85,12,18,30,40.0,1.1077780658542908,555.0
24,IRON,I,f4pj5dvFT0UINw1zDUyCUdOBJvsYPIoPYYD1EDMDite1UVtB,MicroPeePeeJacky,0,4,26,30,13.333333333333334,1.9556031962580394,875.0
25,IRON,I,kong5Rx04RXFFt7Jnm6lBVlfPYht3puAkXlutyZesyNSnHvb,C9 Rhanebow,26,7,3,10,70.0,1.175018611236808,3.0
26,IRON,I,XuW17cezwhAdnNL7dYPvzYPP-xWsnniJfbzmttlZid4gq_Sr,Quatzlcoatl,36,9,11,20,45.0,1.6938326979143306,51.0
