,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId,tier
0,350,6,28449,1583473441000,6849,0,True,0,o--MKWT6r5tfkfQAgNi9_ho-PnJBC1_pwbWUczLdLUwcXvBb,IRON
1,17,5,24278,1580092801000,2678,0,False,0,o--MKWT6r5tfkfQAgNi9_ho-PnJBC1_pwbWUczLdLUwcXvBb,IRON
2,29,5,23407,1583353706000,1807,0,False,0,o--MKWT6r5tfkfQAgNi9_ho-PnJBC1_pwbWUczLdLUwcXvBb,IRON
3,86,6,177570,1583919197000,155970,0,True,3,Yo9WorMtx8wq0cY5jUa8VBS1J46p7UwCqI96c7kJwg4Q_KEj,IRON
4,106,5,45812,1584047801000,24212,0,True,1,Yo9WorMtx8wq0cY5jUa8VBS1J46p7UwCqI96c7kJwg4Q_KEj,IRON
5,16,4,13672,1583562461000,1072,7928,False,0,Yo9WorMtx8wq0cY5jUa8VBS1J46p7UwCqI96c7kJwg4Q_KEj,IRON
6,17,6,131249,1583442636000,109649,0,True,0,UfrJNduCZNKOIymSY7Jbo8Ei3sD-7K9A_R-Yd28V1VWFck6f,IRON
7,36,4,20214,1579119232000,7614,1386,False,0,UfrJNduCZNKOIymSY7Jbo8Ei3sD-7K9A_R-Yd28V1VWFck6f,IRON
8,4,3,8465,1581735583000,2465,4135,True,0,UfrJNduCZNKOIymSY7Jbo8Ei3sD-7K9A_R-Yd28V1VWFck6f,IRON
9,202,5,78108,1583795373000,56508,0,True,1,LAMumtzOQN8govxDJx8a19YpCpXe7TSNh6Ix2DbJ6C6C7K1n,IRON
10,21,5,46204,1582303523000,24604,0,True,1,LAMumtzOQN8govxDJx8a19YpCpXe7TSNh6Ix2DbJ6C6C7K1n,IRON
11,19,5,45969,1583731733000,24369,0,True,1,LAMumtzOQN8govxDJx8a19YpCpXe7TSNh6Ix2DbJ6C6C7K1n,IRON
12,245,5,37630,1583977031000,16030,0,True,0,KtG0jzCQYgPlUD0BArnlxfGVFAU2czVp-daLXWwXwJ1SHusl,IRON
13,99,3,10649,1583641669000,4649,1951,True,0,KtG0jzCQYgPlUD0BArnlxfGVFAU2czVp-daLXWwXwJ1SHusl,IRON
14,22,3,7760,1583718130000,1760,4840,False,0,KtG0jzCQYgPlUD0BArnlxfGVFAU2czVp-daLXWwXwJ1SHusl,IRON
15,40,6,43422,1579569573000,21822,0,True,1,oS67IUd4I9iQ7TlM7V2SP7pyu9mHL0F5PLYlwcKAzIyk1yPS,IRON
16,16,4,13381,1580882508000,781,8219,True,0,oS67IUd4I9iQ7TlM7V2SP7pyu9mHL0F5PLYlwcKAzIyk1yPS,IRON
17,117,3,11086,1579320746000,5086,1514,False,0,oS67IUd4I9iQ7TlM7V2SP7pyu9mHL0F5PLYlwcKAzIyk1yPS,IRON
18,11,5,26065,1581401053000,4465,0,True,2,NY7UNx7YNX9juCbkWGwc-Ynmm9CBrb7Wf9vvQPTGgc1YeCd0,IRON
19,91,4,17193,1567903357000,4593,4407,False,0,NY7UNx7YNX9juCbkWGwc-Ynmm9CBrb7Wf9vvQPTGgc1YeCd0,IRON
20,238,3,12450,1582493284000,6450,150,True,0,NY7UNx7YNX9juCbkWGwc-Ynmm9CBrb7Wf9vvQPTGgc1YeCd0,IRON
21,11,5,70200,1583638743000,48600,0,True,0,qQj6KZTqY9-2a07VsUdLau-vpcujnFhkHICf6OYMnQosvpCf,IRON
22,17,5,21768,1583374954000,168,0,False,0,qQj6KZTqY9-2a07VsUdLau-vpcujnFhkHICf6OYMnQosvpCf,IRON
23,157,4,16660,1573677475000,4060,4940,False,0,qQj6KZTqY9-2a07VsUdLau-vpcujnFhkHICf6OYMnQosvpCf,IRON
24,92,6,41438,1548903506000,19838,0,False,0,Qxte11p9EQMe5c1LrSkWGQ41xjvG7qu04YD5Vdj574BEP6D_,IRON
25,114,5,26117,1576377896000,4517,0,False,0,Qxte11p9EQMe5c1LrSkWGQ41xjvG7qu04YD5Vdj574BEP6D_,IRON
26,91,5,24869,1573137612000,3269,0,False,1,Qxte11p9EQMe5c1LrSkWGQ41xjvG7qu04YD5Vdj574BEP6D_,IRON
27,35,5,38839,1583705019000,17239,0,True,1,qyXzyiEoYR6FG6I_gqBVI-IkYtobTdTSFnn-uFZhdwPdmMuB,IRON
28,141,5,28933,1583919467000,7333,0,False,1,qyXzyiEoYR6FG6I_gqBVI-IkYtobTdTSFnn-uFZhdwPdmMuB,IRON
29,84,4,20532,1582273729000,7932,1068,False,0,qyXzyiEoYR6FG6I_gqBVI-IkYtobTdTSFnn-uFZhdwPdmMuB,IRON
30,82,4,19050,1583870894000,6450,2550,False,0,MMpTfSFb_d90PI_FPIuVbygfLmi4hpwapJKnQmvsJzY3T4Mw,IRON
31,141,4,17578,1583795042000,4978,4022,True,0,MMpTfSFb_d90PI_FPIuVbygfLmi4hpwapJKnQmvsJzY3T4Mw,IRON
32,523,4,16188,1582486746000,3588,5412,True,0,MMpTfSFb_d90PI_FPIuVbygfLmi4hpwapJKnQmvsJzY3T4Mw,IRON
33,37,6,75995,1581028383000,54395,0,True,1,eBiBRfG0sTcLPP6mVXNgTCr6ngxhZBWWWPRdormKrLVyHx7-,IRON
34,25,6,50733,1583897039000,29133,0,True,0,eBiBRfG0sTcLPP6mVXNgTCr6ngxhZBWWWPRdormKrLVyHx7-,IRON
35,106,5,40452,1581181143000,18852,0,True,1,eBiBRfG0sTcLPP6mVXNgTCr6ngxhZBWWWPRdormKrLVyHx7-,IRON
36,39,4,19806,1582696002000,7206,1794,True,0,tRpNryn6N7A8TcyFbk-cyQJplC8T2F8FiKx4Ai1BgviQV0aV,IRON
37,119,3,12355,1582687399000,6355,245,False,0,tRpNryn6N7A8TcyFbk-cyQJplC8T2F8FiKx4Ai1BgviQV0aV,IRON
38,74,3,6441,1581275113000,441,6159,True,0,tRpNryn6N7A8TcyFbk-cyQJplC8T2F8FiKx4Ai1BgviQV0aV,IRON
39,103,6,163276,1583670222000,141676,0,True,1,zE9aU7LOGeMJQvojBKQgeP8ydMbu_lfglwzTLM3buBQvCB-1,IRON
40,222,5,43443,1583738615000,21843,0,True,0,zE9aU7LOGeMJQvojBKQgeP8ydMbu_lfglwzTLM3buBQvCB-1,IRON
41,51,5,29247,1583783165000,7647,0,True,0,zE9aU7LOGeMJQvojBKQgeP8ydMbu_lfglwzTLM3buBQvCB-1,IRON
42,51,5,179448,1583894375000,157848,0,False,2,WYyVHHiUPZCrk87vrCJ4bXe3jqZJZix_9DRuYmz5E-1_bMHe,IRON
43,11,5,39825,1580421254000,18225,0,False,2,WYyVHHiUPZCrk87vrCJ4bXe3jqZJZix_9DRuYmz5E-1_bMHe,IRON
44,21,5,23182,1583856415000,1582,0,False,0,WYyVHHiUPZCrk87vrCJ4bXe3jqZJZix_9DRuYmz5E-1_bMHe,IRON
45,24,5,24252,1583027060000,2652,0,True,0,YZ1jl9ZSP4UIMTDqtA2heFkbylvTdia1e1MmOtlQkFaME55A,IRON
46,51,4,15774,1583394604000,3174,5826,True,0,YZ1jl9ZSP4UIMTDqtA2heFkbylvTdia1e1MmOtlQkFaME55A,IRON
47,103,4,15363,1583369146000,2763,6237,True,0,YZ1jl9ZSP4UIMTDqtA2heFkbylvTdia1e1MmOtlQkFaME55A,IRON
48,82,5,38153,1583705413000,16553,0,False,1,3txMzbeyIKIYJXVTSIOjCsmS3RJuAdZkREulnSeRI8Tmcy4q,IRON
49,131,5,32855,1583605186000,11255,0,True,1,3txMzbeyIKIYJXVTSIOjCsmS3RJuAdZkREulnSeRI8Tmcy4q,IRON
50,5,5,25921,1583625773000,4321,0,False,0,3txMzbeyIKIYJXVTSIOjCsmS3RJuAdZkREulnSeRI8Tmcy4q,IRON
51,19,7,902433,1583885978000,880833,0,True,0,sQoz6ksfzMh5FW6n5zAJsI1-grdrjKb3EYKMwHeyD-aFn5eZ,IRON
