,Unnamed: 0,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID,key,name
0,2,IRON,I,UfrJNduCZNKOIymSY7Jbo8Ei3sD-7K9A_R-Yd28V1VWFck6f,ChivarExpress,0,6,14,20,30.0,6.492975165726723,17.0,17.0,Teemo
1,526,IRON,III,nUPRatRmu-VFLGRnPPP8JJEXREXyEp2ko5U-730aPsbDAeqw,x lexi x,94,14,44,58,24.137931034482758,7.073963852798141,17.0,17.0,Teemo
2,2375,SILVER,IV,wJKrmjZ7xw1qQJehaelcMWlSQzQCzIJRZlxMExzBJ3mT53rD,Shr00m Dealer,25,24,25,49,48.97959183673469,5.8649121528030905,17.0,17.0,Teemo
3,3589,PLATINUM,II,PXm69nmE9DZ44ZjcuKLkFh3o7gQ1t3BzsxbA_-aFF8P6YoqV,lvluphagoPa,0,266,239,505,52.67326732673268,19.618646123983982,17.0,17.0,Teemo
4,3662,PLATINUM,II,MACrWMIBc2LScmkn3kdjSj2kek-uwIgL-U-T_4ywE87r5xLn,GlHfGgNoReKTyBye,23,11,8,19,57.89473684210527,10.78936300709717,17.0,17.0,Teemo
5,4221,DIAMOND,II,4wrHpKcjMsVhxZvTOMOQ2mgGo2Dw-wPjJ8Xpekf4EcDMZQmw,def not jimmy,100,28,19,47,59.57446808510638,19.704662979450518,17.0,17.0,Teemo
6,4274,DIAMOND,II,EDLr7BkdmWdGFZsb5YcCr_KbLGpbi55x7TxNYkWCW5uj_JBq,Jimmyz,26,67,73,140,47.85714285714286,12.129109863672815,17.0,17.0,Teemo
7,17,IRON,I,sQoz6ksfzMh5FW6n5zAJsI1-grdrjKb3EYKMwHeyD-aFn5eZ,Grayco,79,26,30,56,46.42857142857143,32.63182064726089,19.0,19.0,Warwick
8,140,IRON,I,m_Yd3LXB3vc7KisFyXlLhpqpj65JvnnQM3aFD4yJBMe228qG,ANiceSpy,55,3,9,12,25.0,26.092115848753014,19.0,19.0,Warwick
9,1859,SILVER,II,d34BajoPM_Ire4jvgVmHNzDCHRCOFvAdhqg8SynpiIXanCmW,Juat A Lord,0,42,49,91,46.15384615384615,37.248836881432396,19.0,19.0,Warwick
10,2247,SILVER,III,LnjjmjJVO4_0Iz887codKB0LcudwbLq2xwOwaXPCwYS6af0Y,Brehunosereies,5,73,79,152,48.026315789473685,16.915637173066226,19.0,19.0,Warwick
11,2874,GOLD,III,yZ7ZSNRdMjA7I6xnsFeDvsLVcUpTypjrRWpgS_rixjbRQHSL,Hsu Hao Vq,0,105,108,213,49.29577464788733,11.176142380060275,19.0,19.0,Warwick
12,3755,PLATINUM,III,z33aiNyf9goVyieXxUHwxlVu9kwsqKpt_s1OneuEh6P57jA9,Rexboy,39,58,74,132,43.93939393939394,7.232056357266622,19.0,19.0,Warwick
13,37,IRON,I,0LIs4SZpK3sbgYaN8-Wixff-GJjCxH_CU6Km47j8Nus5Z90E,Icedragon2757,100,7,15,22,31.818181818181817,5.640502845706422,498.0,498.0,Xayah
14,251,IRON,II,rhHeczacb7mg_K2UhESM0N2DATbfbElPhOn-uD-8vViZVj0M,Dugmeister,53,1,10,11,9.090909090909092,10.74787693164416,498.0,498.0,Xayah
15,59,IRON,I,Fy88ljxRwDeK7_Bu1bNcCKoBop8WZE-ktHYQf1k7aB_nd6dt,Frosst10,59,5,13,18,27.77777777777778,17.012018234562785,18.0,18.0,Tristana
16,1381,BRONZE,III,52EgGNToYupGQjK5qS6Hcoyct6b6j3PrrfjUV2bS1vys_srW,haddeees,43,44,44,88,50.0,7.777681129758494,18.0,18.0,Tristana
17,65,IRON,I,REAGTrNjXsGAg5pBFrOranVoVcWYOOF8ygGNLI_086vX6CPQ,XZephyrXx,63,3,7,10,30.0,12.911448853294505,28.0,28.0,Evelynn
18,1838,SILVER,I,q0xm1SD5smFzQgmunZdBc1kXiwv_FpNMbcX5P0K84C3sBXMI,keveIynn,18,44,38,82,53.65853658536586,6.371801790582148,28.0,28.0,Evelynn
19,2592,GOLD,I,E0HnB-kqENM0uLdEBA22xPV1YKYIfcwsCCgMxComu4isNafG,Girthy Forearm,0,59,62,121,48.760330578512395,15.792739469270987,28.0,28.0,Evelynn
